state
0
1
128
129
16384
16385
16386
16512
16513
648
147976
17032
148105
8192
8193
8320
8321
24576
155649
24704
156296
32768
32769
32896
32897
49152
180225
49280
180872
40960
41088
172161
188416
188544
65536
65537
65664
65665
81920
212993
82048
213640
73728
73856
221184
98304
98432
245760
237696
254708
1851392
2089716
